cluster	gene
58	AT5G62370
58	AT5G63520
59	AT3G13175
59	AT5G62670
59	ATCG00040
59	ATCG00750
59	ATCG00760
59	ATCG00770
59	ATCG00780
59	ATCG00810
59	ATCG01010
60	AT1G01210
60	AT1G02370
60	AT1G23935
60	AT1G47670
60	AT1G67120
60	AT2G23700
60	AT2G33680
60	AT3G13180
60	AT3G20260
60	AT3G59890
60	AT5G40320
60	AT5G42670
60	AT5G60990
61	AT1G22330
62	AT2G46535
63	AT1G03530
63	AT1G15440
63	AT1G77550
63	AT1G79150
63	AT2G04030
63	AT2G17250
63	AT2G18900
63	AT2G28000
63	AT2G28600
63	AT2G37230
63	AT2G40700
63	AT3G05060
63	AT3G12270
63	AT3G18600
63	AT3G21540
63	AT3G27550
63	AT3G55510
63	AT3G57150
63	AT4G02400
63	AT4G04670
63	AT4G04940
63	AT4G15850
63	AT4G16630
63	AT4G19610
63	AT4G25730
63	AT5G06550
63	AT5G09840
63	AT5G14050
63	AT5G15550
63	AT5G16750
63	AT5G27120
63	AT5G51540
63	AT5G55920
63	AT5G62440
63	AT5G64420
63	AT5G67240
64	AT1G14270
64	AT1G62480
64	AT1G74088
64	AT3G15420
65	AT1G23280
65	AT1G61990
65	AT1G62390
65	AT1G64600
65	AT1G69380
65	AT1G74240
65	AT1G79560
65	AT2G34570
65	AT3G01160
65	AT3G07770
65	AT3G16810
65	AT3G21280
65	AT3G21820
65	AT3G49320
65	AT3G59820
65	AT3G61520
65	AT4G00930
65	AT4G05440
65	AT4G09730
65	AT4G10620
65	AT4G26600
65	AT4G31810
65	AT5G12220
65	AT5G15750
65	AT5G15980
65	AT5G21970
65	AT5G22320
65	AT5G23310
65	AT5G38720
65	AT5G43720
65	AT5G56090
66	AT2G19970
66	AT2G20670
66	AT5G49360
66	AT5G64120
67	AT4G23180
68	AT1G71140
68	AT1G74456
68	AT2G29480
68	AT2G38240
68	AT3G01795
68	AT3G21270
68	AT4G34210
68	AT5G37750
69	AT1G04710
69	AT1G10300
69	AT1G16480
69	AT1G33390
69	AT1G52160
69	AT1G79490
69	AT2G01130
69	AT2G31320
69	AT2G47300
69	AT2G47680
69	AT3G04340
69	AT3G16890
69	AT4G30910
69	AT5G36950
69	AT5G49030
70	AT1G04900
70	AT1G06380
70	AT1G26170
70	AT1G66250
70	AT2G26810
70	AT2G43360
70	AT2G44510
70	AT2G44640
70	AT2G45280
70	AT3G10270
70	AT3G16950
70	AT3G21110
70	AT3G24000
70	AT3G25860
70	AT3G44890
70	AT4G02820
70	AT4G24750
70	AT4G29060
70	AT4G30330
70	AT4G33680
70	AT4G35050
70	AT5G01590
70	AT5G03940
70	AT5G20980
70	AT5G22640
70	AT5G39850
70	AT5G49020
70	AT5G62030
70	AT5G63810
71	AT3G16120
72	AT1G64010
72	AT4G36670
73	AT5G14780
74	AT1G13530
74	AT2G03590
74	AT2G28940
74	AT3G13450
74	AT4G19985
74	AT5G01620
74	AT5G25910
75	AT1G29418
75	AT1G51380
75	AT2G04270
75	AT3G28380
75	AT3G48500
75	AT4G11400
75	AT5G01445
75	AT5G03780
76	AT1G20900
76	AT1G21090
76	AT1G67400
76	AT1G79840
76	AT2G38370
76	AT3G44300
76	AT4G30370
76	AT5G22300
77	AT5G25260
78	AT1G48300
78	AT1G74770
78	AT3G56360
78	AT5G04150
78	AT5G05250
79	AT3G56980
79	AT3G58810
79	AT4G16370
79	AT4G19680
79	AT4G19690
79	AT5G18170
80	AT3G56970
81	AT1G23020
81	AT3G52880
81	AT5G53450
